state,x,y
Maharashtra,-179.0,-59.0
Gujarat,-230.0,15.0
Tamil Nadu,-91.0,-229.0
Andhra Pradesh,-91.0,-141.0
Jammu And Kashmir,-146.0, 259.0
Telangana,-88.0,-85.0
Karnataka,-160.0,-157.0
Goa,-174.0,-138.0
Kerala,-150.0,-239.0
Odisha,10.0,-45.0
Madhya Pradesh,-132.0,17.0
Chhattisgarh,-40.0,-15.0
Rajasthan,-213.0,97.0
Uttar Pradesh,-75.0,100.0
Uttarakhand,-85.0,160.0
Himachal Pradesh,-116.0,195.0
Punjab,-155.0,175.0
Haryana,-146.0,135.0
Bihar,30.0,68.0
Jharkhand,15.0,20.0
West Bengal,82.0,5.0
Sikkim,77.0,105.0
Arunachal Pradesh,155.0,130.0
Assam,126.0,90.0
Nagaland,194.0,85.0
Manipur,184.0,55.0
Mizoram,170.0,20.0
Tripura,124.0,30.0
Meghalaya,114.0,65.0

